# 表記ゆれ辞書（形式名詞・補助動詞・副詞などの漢字/かな対応表）
# 形式: 漢字形<TAB>かな形<TAB>備考
# 出典: JTF日本語標準スタイルガイド / textlint-rule-ja-hiraku の対象語を基に、
#       誤検出が少ない語（一般名詞・動詞と衝突しにくい語）のみを厳選した最小セット。
# 同一ドキュメント内で漢字形とかな形の両方が出現した場合に表記ゆれとして報告する。
事	こと	形式名詞
為	ため	形式名詞
訳	わけ	形式名詞
筈	はず	形式名詞
程	ほど	形式名詞
通り	とおり	形式名詞
出来る	できる	補助動詞
出来ない	できない	補助動詞
頂く	いただく	補助動詞
下さい	ください	補助動詞
更に	さらに	副詞
既に	すでに	副詞
但し	ただし	接続詞
尚	なお	接続詞
且つ	かつ	接続詞
殆ど	ほとんど	副詞
色々	いろいろ	副詞
態々	わざわざ	副詞
却って	かえって	副詞
予め	あらかじめ	副詞
敢えて	あえて	副詞
概ね	おおむね	副詞
従って	したがって	接続詞
又は	または	接続詞
及び	および	接続詞
並びに	ならびに	接続詞
若しくは	もしくは	接続詞
